B,P,C,X,N,Time
5,1,1,0,1,10.203000
5,1,5,0,1,10.222000
5,5,1,0,1,2.113000
5,5,5,0,1,2.114000
10,1,1,0,1,10.223750
10,1,5,0,1,10.234000
10,1,10,0,1,10.222000
10,5,1,0,1,2.112000
10,5,5,0,1,2.114000
10,5,10,0,1,2.116000
10,10,1,0,1,1.098000
10,10,5,0,1,1.090000
10,10,10,0,1,1.100000
5,1,1,200,1,10.422000
5,1,5,200,1,10.420000
5,5,1,200,1,10.248000
5,5,5,200,1,2.322000
10,1,1,200,1,10.418000
10,1,5,200,1,10.398000
10,1,10,200,1,10.424000
10,5,1,200,1,10.248000
10,5,5,200,1,2.320000
10,5,10,200,1,2.316000
10,10,1,200,1,10.248000
10,10,5,200,1,2.244000
10,10,10,200,1,1.302000
5,1,1,400,1,20.240000
5,1,5,400,1,10.624000
5,5,1,400,1,20.244000
5,5,5,400,1,4.242000
10,1,1,400,1,20.240000
10,1,5,400,1,10.606000
10,1,10,400,1,10.604000
10,5,1,400,1,20.240000
10,5,5,400,1,4.240000
10,5,10,400,1,2.518000
10,10,1,400,1,20.250000
10,10,5,400,1,4.244000
10,10,10,400,1,2.250000
